Price,Square,District,Parking,Drying yard,AC,Water heater,Washing machine,TV,Fridge,Kitchen,Elevator,Bed
3000000,25,Binh Tan,1,0,1,0,1,0,0,1,1,0
4600000,23,Tan Binh,1,0,1,1,1,0,1,1,0,1
3600000,25,7,1,0,1,0,0,0,1,1,0,0
3000000,20,Tan Phu,1,0,1,0,0,0,1,0,0,0
2700000,10,Tan Phu,1,1,0,0,0,0,0,0,0,0
3000000,30,Nha Be,1,0,0,0,0,0,0,0,1,0
1800000,242,Go Vap,0,1,1,1,1,0,1,0,0,1
2300000,16,Phu Nhuan,1,0,0,0,0,0,0,1,0,0
1800000,31,Tan Phu,0,1,1,1,1,0,1,1,0,1
3300000,12,Nha Be,0,1,1,0,0,0,0,1,0,0
5500000,30,Phu Nhuan,1,0,0,0,0,0,0,0,0,0
3600000,30,9,1,0,0,0,0,0,0,0,1,0
3500000,21,Tan Binh,1,0,1,0,0,0,0,1,1,0
3200000,45,Nha Trang,1,0,0,0,1,0,0,0,0,0
2800000,38,Binh Tan,1,0,1,1,0,1,0,1,1,0
3100000,25,12,1,0,0,0,1,0,0,0,0,0
3000000,25,Tan Binh,1,1,0,0,0,0,0,1,0,0
3999000,25,Binh Thanh,1,0,1,0,1,0,0,1,0,1
3400000,30,Tan Phu,1,1,1,0,0,0,1,1,0,0
2500000,16,Phu Nhuan,0,0,0,0,0,0,0,0,0,0
4000000,12,3,0,0,1,1,0,0,0,0,0,0
3800000,25,Binh Tan,0,0,1,0,1,0,1,1,0,1
4800000,22,10,1,0,1,0,0,0,0,1,0,0
1200000,30,Thanh Xuan,0,1,0,1,1,0,1,0,1,1
3000000,25,Bac Tu Liem,1,1,0,1,1,0,1,1,0,1
3800000,20,Binh Thanh,1,0,1,0,1,0,0,1,0,0
1600000,12,10,1,0,1,0,1,0,1,1,0,0
1900000,16,7,1,0,0,0,0,0,0,0,0,0
4800000,25,Tan Binh,1,0,1,0,0,0,1,1,1,1
2500000,18,7,1,0,1,0,0,1,0,0,1,0
3300000,25,Binh Tan,0,0,1,0,0,0,1,1,0,1
2200000,20,Tan Phu,0,0,0,0,0,0,0,0,0,0
3500000,30,Binh Tan,1,0,1,1,0,0,0,0,0,0
2200000,25,6,0,0,0,0,0,0,0,0,0,0
2900000,20,6,0,0,1,0,0,0,0,1,0,0
2800000,25,6,0,0,1,0,0,0,0,0,0,1
3800000,25,Binh Tan,0,0,0,0,0,0,0,1,0,0
2000000,20,Binh Tan,0,0,0,0,0,0,0,0,0,0
5000000,30,Tan Binh,1,0,1,1,1,0,1,1,0,1
2900000,27,12,1,0,0,1,0,0,0,1,1,0
3100000,35,12,1,0,0,0,0,0,0,0,1,0
2900000,18,Phu Nhuan,1,0,0,0,0,1,0,0,0,0
3500000,25,Tan Thanh,1,1,1,0,1,1,0,0,0,1
2900000,45,12,0,0,0,0,0,0,0,0,0,0
4800000,30,2,1,0,0,0,1,0,0,0,0,0
4200000,30,2,1,0,0,0,0,0,0,0,1,0
1500000,16,Thu Duc,0,0,0,0,0,0,0,0,0,0
5200000,25,Binh Thanh,0,0,0,0,0,0,0,0,0,0
4800000,25,Binh Thanh,1,0,1,0,1,0,0,1,0,1
4500000,25,Binh Thanh,1,0,1,1,1,0,0,0,0,1
5500000,25,Binh Thanh,1,0,1,0,1,0,0,1,0,1
5500000,25,2,1,1,1,1,1,1,1,1,1,1
3800000,20,10,1,1,1,1,0,0,1,1,1,1
3000000,16,2,1,0,1,1,0,0,0,0,0,1
5200000,25,7,1,0,1,0,1,0,1,1,0,1
3600000,18,7,1,0,0,0,0,0,0,0,0,1
4000000,16,7,1,0,1,0,1,0,1,1,0,1
5000000,25,7,1,0,1,0,1,0,1,1,0,1
4400000,25,8,1,0,1,0,1,0,1,1,0,1
2500000,16,Tan Binh,1,0,1,1,0,1,0,0,1,1
2000000,25,Binh Tan,1,0,1,0,0,0,1,1,0,1
5000000,30,Binh Thanh,1,0,0,0,0,0,0,0,0,0
3000000,30,12,1,1,1,0,1,0,1,1,0,1
3600000,28,11,1,0,1,1,0,0,0,0,0,0
2500000,25,12,1,0,0,0,0,0,0,1,0,0
6000000,30,Binh Thanh,1,0,0,0,1,0,0,0,1,0
3500000,25,3,1,1,1,0,0,0,1,0,0,1
3500000,30,3,1,0,1,1,0,0,0,0,0,0
4600000,27,Binh Thanh,1,0,0,0,0,0,0,0,0,0
1300000,35,10,0,0,1,0,1,0,1,1,0,1
2900000,35,Binh Tan,1,0,1,1,0,1,0,1,0,0
